,Station,Date,num_entries
186,103 ST-CORONA,01/05/2020,10266
187,103 ST-CORONA,01/06/2020,19654
188,103 ST-CORONA,01/07/2020,19678
189,103 ST-CORONA,01/08/2020,20009
190,103 ST-CORONA,01/09/2020,19739
191,103 ST-CORONA,01/10/2020,20423
192,103 ST-CORONA,01/11/2020,14079
193,103 ST-CORONA,01/12/2020,10514
194,103 ST-CORONA,01/13/2020,19537
195,103 ST-CORONA,01/14/2020,19752
196,103 ST-CORONA,01/15/2020,20383
197,103 ST-CORONA,01/16/2020,20272
198,103 ST-CORONA,01/17/2020,19929
199,103 ST-CORONA,01/18/2020,12585
200,103 ST-CORONA,01/19/2020,10335
201,103 ST-CORONA,01/20/2020,15308
202,103 ST-CORONA,01/21/2020,19278
203,103 ST-CORONA,01/22/2020,19492
204,103 ST-CORONA,01/23/2020,19370
205,103 ST-CORONA,01/24/2020,19937
206,103 ST-CORONA,01/25/2020,12986
207,103 ST-CORONA,01/26/2020,10707
208,103 ST-CORONA,01/27/2020,19709
209,103 ST-CORONA,01/28/2020,20482
210,103 ST-CORONA,01/29/2020,20533
211,103 ST-CORONA,01/30/2020,20145
212,103 ST-CORONA,01/31/2020,20622
213,103 ST-CORONA,02/01/2020,13516
214,103 ST-CORONA,02/02/2020,9798
215,103 ST-CORONA,02/03/2020,20145
216,103 ST-CORONA,02/04/2020,20529
217,103 ST-CORONA,02/05/2020,20907
218,103 ST-CORONA,02/06/2020,20419
219,103 ST-CORONA,02/07/2020,20581
220,103 ST-CORONA,02/08/2020,13527
221,103 ST-CORONA,02/09/2020,9470
222,103 ST-CORONA,02/10/2020,19699
223,103 ST-CORONA,02/11/2020,20209
224,103 ST-CORONA,02/12/2020,20750
225,103 ST-CORONA,02/13/2020,20702
226,103 ST-CORONA,02/14/2020,21026
227,103 ST-CORONA,02/15/2020,12904
228,103 ST-CORONA,02/16/2020,9944
229,103 ST-CORONA,02/17/2020,15607
230,103 ST-CORONA,02/18/2020,19111
231,103 ST-CORONA,02/19/2020,19601
232,103 ST-CORONA,02/20/2020,19077
233,103 ST-CORONA,02/21/2020,19165
234,103 ST-CORONA,02/22/2020,13287
235,103 ST-CORONA,02/23/2020,10027
236,103 ST-CORONA,02/24/2020,20078
237,103 ST-CORONA,02/25/2020,20332
238,103 ST-CORONA,02/26/2020,20686
239,103 ST-CORONA,02/27/2020,20617
240,103 ST-CORONA,02/28/2020,20554
241,103 ST-CORONA,02/29/2020,13161
242,103 ST-CORONA,03/01/2020,9539
243,103 ST-CORONA,03/02/2020,20002
244,103 ST-CORONA,03/03/2020,20519
245,103 ST-CORONA,03/04/2020,20848
246,103 ST-CORONA,03/05/2020,20784
247,103 ST-CORONA,03/06/2020,20431
248,103 ST-CORONA,03/07/2020,13355
249,103 ST-CORONA,03/08/2020,8853
250,103 ST-CORONA,03/09/2020,19404
251,103 ST-CORONA,03/10/2020,19249
252,103 ST-CORONA,03/11/2020,19214
253,103 ST-CORONA,03/12/2020,18291
254,103 ST-CORONA,03/13/2020,17599
255,103 ST-CORONA,03/14/2020,10585
256,103 ST-CORONA,03/15/2020,7242
257,103 ST-CORONA,03/16/2020,13127
258,103 ST-CORONA,03/17/2020,11106
259,103 ST-CORONA,03/18/2020,10394
260,103 ST-CORONA,03/19/2020,9256
261,103 ST-CORONA,03/20/2020,9075
262,103 ST-CORONA,03/21/2020,4755
263,103 ST-CORONA,03/22/2020,2621
264,103 ST-CORONA,03/23/2020,4054
265,103 ST-CORONA,03/24/2020,4334
266,103 ST-CORONA,03/25/2020,3835
267,103 ST-CORONA,03/26/2020,3815
268,103 ST-CORONA,03/27/2020,3732
269,103 ST-CORONA,12/28/2019,14003
270,103 ST-CORONA,12/29/2019,10703
271,103 ST-CORONA,12/30/2019,16794
272,103 ST-CORONA,12/31/2019,16291
273,104 ST,01/01/2020,1408
274,104 ST,01/02/2020,4094
275,104 ST,01/03/2020,4178
276,104 ST,01/04/2020,1933
277,104 ST,01/05/2020,1519
278,104 ST,01/06/2020,4372
279,104 ST,01/07/2020,4486
280,104 ST,01/08/2020,4342
281,104 ST,01/09/2020,4301
282,104 ST,01/10/2020,4458
283,104 ST,01/11/2020,850
284,104 ST,01/12/2020,595
285,104 ST,01/13/2020,4376
286,104 ST,01/14/2020,4458
287,104 ST,01/15/2020,4466
288,104 ST,01/16/2020,4470
289,104 ST,01/17/2020,4293
290,104 ST,01/18/2020,1815
291,104 ST,01/19/2020,1441
292,104 ST,01/20/2020,2681
293,104 ST,01/21/2020,3485
294,104 ST,01/22/2020,4049
295,104 ST,01/23/2020,4114
296,104 ST,01/24/2020,4146
297,104 ST,01/25/2020,1158
298,104 ST,01/26/2020,980
299,104 ST,01/27/2020,4224
300,104 ST,01/28/2020,4545
301,104 ST,01/29/2020,4611
302,104 ST,01/30/2020,4490
303,104 ST,01/31/2020,4497
304,104 ST,02/01/2020,2118
305,104 ST,02/02/2020,1520
306,104 ST,02/03/2020,4346
307,104 ST,02/04/2020,4638
308,104 ST,02/05/2020,4564
309,104 ST,02/06/2020,4480
310,104 ST,02/07/2020,4394
311,104 ST,02/08/2020,1395
312,104 ST,02/09/2020,1010
313,104 ST,02/10/2020,4348
314,104 ST,02/11/2020,4489
315,104 ST,02/12/2020,4436
316,104 ST,02/13/2020,4514
317,104 ST,02/14/2020,4306
318,104 ST,02/15/2020,1997
319,104 ST,02/16/2020,1491
320,104 ST,02/17/2020,2663
321,104 ST,02/18/2020,3961
322,104 ST,02/19/2020,4193
323,104 ST,02/20/2020,4007
324,104 ST,02/21/2020,3876
325,104 ST,02/22/2020,2112
326,104 ST,02/23/2020,1513
327,104 ST,02/24/2020,4462
328,104 ST,02/25/2020,4576
329,104 ST,02/26/2020,4508
330,104 ST,02/27/2020,4640
331,104 ST,02/28/2020,4346
332,104 ST,02/29/2020,2105
333,104 ST,03/01/2020,1473
334,104 ST,03/02/2020,4531
335,104 ST,03/03/2020,4602
336,104 ST,03/04/2020,4555
337,104 ST,03/05/2020,4490
338,104 ST,03/06/2020,4388
339,104 ST,03/07/2020,2023
340,104 ST,03/08/2020,1239
341,104 ST,03/09/2020,4150
342,104 ST,03/10/2020,4220
343,104 ST,03/11/2020,4141
344,104 ST,03/12/2020,3875
345,104 ST,03/13/2020,3533
346,104 ST,03/14/2020,1621
347,104 ST,03/15/2020,1080
348,104 ST,03/16/2020,2494
349,104 ST,03/17/2020,2163
350,104 ST,03/18/2020,2061
351,104 ST,03/19/2020,1845
352,104 ST,03/20/2020,1723
353,104 ST,03/21/2020,767
354,104 ST,03/22/2020,494
355,104 ST,03/23/2020,916
356,104 ST,03/24/2020,900
357,104 ST,03/25/2020,802
358,104 ST,03/26/2020,821
359,104 ST,03/27/2020,756
360,104 ST,12/28/2019,2150
361,104 ST,12/29/2019,1592
362,104 ST,12/30/2019,3470
363,104 ST,12/31/2019,3259
364,110 ST,01/01/2020,3938
365,110 ST,01/02/2020,9540
366,110 ST,01/03/2020,9631
367,110 ST,01/04/2020,5801
368,110 ST,01/05/2020,4419
369,110 ST,01/06/2020,10156
370,110 ST,01/07/2020,10469
371,110 ST,01/08/2020,10575
372,110 ST,01/09/2020,10533
373,110 ST,01/10/2020,10894
374,110 ST,01/11/2020,6216
375,110 ST,01/12/2020,4534
376,110 ST,01/13/2020,11020
377,110 ST,01/14/2020,10439
378,110 ST,01/15/2020,10799
379,110 ST,01/16/2020,10693
380,110 ST,01/17/2020,10689
381,110 ST,01/18/2020,4978
382,110 ST,01/19/2020,4375
383,110 ST,01/20/2020,6157
384,110 ST,01/21/2020,10106
385,110 ST,01/22/2020,10456
386,110 ST,01/23/2020,10462
387,110 ST,01/24/2020,10658
388,110 ST,01/25/2020,5164
389,110 ST,01/26/2020,4342
390,110 ST,01/27/2020,9872
391,110 ST,01/28/2020,10630
392,110 ST,01/29/2020,10780
393,110 ST,01/30/2020,10703
394,110 ST,01/31/2020,10864
395,110 ST,02/01/2020,5876
396,110 ST,02/02/2020,4446
397,110 ST,02/03/2020,10086
398,110 ST,02/04/2020,10852
399,110 ST,02/05/2020,10932
400,110 ST,02/06/2020,10752
401,110 ST,02/07/2020,10877
402,110 ST,02/08/2020,6177
403,110 ST,02/09/2020,4319
404,110 ST,02/10/2020,10186
405,110 ST,02/11/2020,10656
