,Station,Date,num_entries
8392,67 AV,01/21/2020,8818
8393,67 AV,01/22/2020,8718
8394,67 AV,01/23/2020,8773
8395,67 AV,01/24/2020,8329
8396,67 AV,01/25/2020,2568
8397,67 AV,01/26/2020,2038
8398,67 AV,01/27/2020,8406
8399,67 AV,01/28/2020,9430
8400,67 AV,01/29/2020,9397
8401,67 AV,01/30/2020,9413
8402,67 AV,01/31/2020,8761
8403,67 AV,02/01/2020,3755
8404,67 AV,02/02/2020,3161
8405,67 AV,02/03/2020,9138
8406,67 AV,02/04/2020,9252
8407,67 AV,02/05/2020,9533
8408,67 AV,02/06/2020,9475
8409,67 AV,02/07/2020,9037
8410,67 AV,02/08/2020,4159
8411,67 AV,02/09/2020,3177
8412,67 AV,02/10/2020,9133
8413,67 AV,02/11/2020,9415
8414,67 AV,02/12/2020,9337
8415,67 AV,02/13/2020,9441
8416,67 AV,02/14/2020,8985
8417,67 AV,02/15/2020,3577
8418,67 AV,02/16/2020,2999
8419,67 AV,02/17/2020,4966
8420,67 AV,02/18/2020,8123
8421,67 AV,02/19/2020,8492
8422,67 AV,02/20/2020,8464
8423,67 AV,02/21/2020,7732
8424,67 AV,02/22/2020,4075
8425,67 AV,02/23/2020,3325
8426,67 AV,02/24/2020,9084
8427,67 AV,02/25/2020,9387
8428,67 AV,02/26/2020,9419
8429,67 AV,02/27/2020,9690
8430,67 AV,02/28/2020,9092
8431,67 AV,02/29/2020,4027
8432,67 AV,03/01/2020,3244
8433,67 AV,03/02/2020,9113
8434,67 AV,03/03/2020,9487
8435,67 AV,03/04/2020,9154
8436,67 AV,03/05/2020,9353
8437,67 AV,03/06/2020,8665
8438,67 AV,03/07/2020,3239
8439,67 AV,03/08/2020,2118
8440,67 AV,03/09/2020,8371
8441,67 AV,03/10/2020,8211
8442,67 AV,03/11/2020,7974
8443,67 AV,03/12/2020,7247
8444,67 AV,03/13/2020,6107
8445,67 AV,03/14/2020,2216
8446,67 AV,03/15/2020,1571
8447,67 AV,03/16/2020,3684
8448,67 AV,03/17/2020,2955
8449,67 AV,03/18/2020,2590
8450,67 AV,03/19/2020,2213
8451,67 AV,03/20/2020,1860
8452,67 AV,03/21/2020,817
8453,67 AV,03/22/2020,605
8454,67 AV,03/23/2020,1051
8455,67 AV,03/24/2020,1020
8456,67 AV,03/25/2020,937
8457,67 AV,03/26/2020,924
8458,67 AV,03/27/2020,872
8459,67 AV,12/28/2019,4107
8460,67 AV,12/29/2019,3393
8461,67 AV,12/30/2019,6741
8462,67 AV,12/31/2019,6412
8463,68ST-HUNTER CO,01/01/2020,4381
8464,68ST-HUNTER CO,01/02/2020,14888
8465,68ST-HUNTER CO,01/03/2020,14603
8466,68ST-HUNTER CO,01/04/2020,6088
8467,68ST-HUNTER CO,01/05/2020,5030
8468,68ST-HUNTER CO,01/06/2020,17452
8469,68ST-HUNTER CO,01/07/2020,18111
8470,68ST-HUNTER CO,01/08/2020,18809
8471,68ST-HUNTER CO,01/09/2020,18307
8472,68ST-HUNTER CO,01/10/2020,17935
8473,68ST-HUNTER CO,01/11/2020,7383
8474,68ST-HUNTER CO,01/12/2020,5124
8475,68ST-HUNTER CO,01/13/2020,18216
8476,68ST-HUNTER CO,01/14/2020,18661
8477,68ST-HUNTER CO,01/15/2020,18553
8478,68ST-HUNTER CO,01/16/2020,18761
8479,68ST-HUNTER CO,01/17/2020,17088
8480,68ST-HUNTER CO,01/18/2020,5947
8481,68ST-HUNTER CO,01/19/2020,4510
8482,68ST-HUNTER CO,01/20/2020,9280
8483,68ST-HUNTER CO,01/21/2020,18558
8484,68ST-HUNTER CO,01/22/2020,18877
8485,68ST-HUNTER CO,01/23/2020,18737
8486,68ST-HUNTER CO,01/24/2020,17208
8487,68ST-HUNTER CO,01/25/2020,5693
8488,68ST-HUNTER CO,01/26/2020,4718
8489,68ST-HUNTER CO,01/27/2020,23582
8490,68ST-HUNTER CO,01/28/2020,24495
8491,68ST-HUNTER CO,01/29/2020,23059
8492,68ST-HUNTER CO,01/30/2020,24479
8493,68ST-HUNTER CO,01/31/2020,21889
8494,68ST-HUNTER CO,02/01/2020,7411
8495,68ST-HUNTER CO,02/02/2020,4488
8496,68ST-HUNTER CO,02/03/2020,22726
8497,68ST-HUNTER CO,02/04/2020,23995
8498,68ST-HUNTER CO,02/05/2020,22225
8499,68ST-HUNTER CO,02/06/2020,24479
8500,68ST-HUNTER CO,02/07/2020,21965
8501,68ST-HUNTER CO,02/08/2020,8177
8502,68ST-HUNTER CO,02/09/2020,5430
8503,68ST-HUNTER CO,02/10/2020,23534
8504,68ST-HUNTER CO,02/11/2020,23494
8505,68ST-HUNTER CO,02/12/2020,17305
8506,68ST-HUNTER CO,02/13/2020,24054
8507,68ST-HUNTER CO,02/14/2020,21935
8508,68ST-HUNTER CO,02/15/2020,6430
8509,68ST-HUNTER CO,02/16/2020,4190
8510,68ST-HUNTER CO,02/17/2020,7935
8511,68ST-HUNTER CO,02/18/2020,21974
8512,68ST-HUNTER CO,02/19/2020,21585
8513,68ST-HUNTER CO,02/20/2020,23004
8514,68ST-HUNTER CO,02/21/2020,20326
8515,68ST-HUNTER CO,02/22/2020,7499
8516,68ST-HUNTER CO,02/23/2020,5171
8517,68ST-HUNTER CO,02/24/2020,22179
8518,68ST-HUNTER CO,02/25/2020,24146
8519,68ST-HUNTER CO,02/26/2020,22466
8520,68ST-HUNTER CO,02/27/2020,24303
8521,68ST-HUNTER CO,02/28/2020,21357
8522,68ST-HUNTER CO,02/29/2020,7813
8523,68ST-HUNTER CO,03/01/2020,5426
8524,68ST-HUNTER CO,03/02/2020,21727
8525,68ST-HUNTER CO,03/03/2020,22766
8526,68ST-HUNTER CO,03/04/2020,21188
8527,68ST-HUNTER CO,03/05/2020,22458
8528,68ST-HUNTER CO,03/06/2020,21034
8529,68ST-HUNTER CO,03/07/2020,6885
8530,68ST-HUNTER CO,03/08/2020,4615
8531,68ST-HUNTER CO,03/09/2020,21311
8532,68ST-HUNTER CO,03/10/2020,21312
8533,68ST-HUNTER CO,03/11/2020,18425
8534,68ST-HUNTER CO,03/12/2020,13506
8535,68ST-HUNTER CO,03/13/2020,10384
8536,68ST-HUNTER CO,03/14/2020,3199
8537,68ST-HUNTER CO,03/15/2020,2135
8538,68ST-HUNTER CO,03/16/2020,7163
8539,68ST-HUNTER CO,03/17/2020,6100
8540,68ST-HUNTER CO,03/18/2020,5382
8541,68ST-HUNTER CO,03/19/2020,4774
8542,68ST-HUNTER CO,03/20/2020,4103
8543,68ST-HUNTER CO,03/21/2020,1504
8544,68ST-HUNTER CO,03/22/2020,1033
8545,68ST-HUNTER CO,03/23/2020,2767
8546,68ST-HUNTER CO,03/24/2020,2612
8547,68ST-HUNTER CO,03/25/2020,2447
8548,68ST-HUNTER CO,03/26/2020,2351
8549,68ST-HUNTER CO,03/27/2020,2221
8550,68ST-HUNTER CO,12/28/2019,5428
8551,68ST-HUNTER CO,12/29/2019,4364
8552,68ST-HUNTER CO,12/30/2019,12355
8553,68ST-HUNTER CO,12/31/2019,10623
8554,69 ST,01/01/2020,1962
8555,69 ST,01/02/2020,4271
8556,69 ST,01/03/2020,4369
8557,69 ST,01/04/2020,2741
8558,69 ST,01/05/2020,2208
8559,69 ST,01/06/2020,4566
8560,69 ST,01/07/2020,4480
8561,69 ST,01/08/2020,4513
8562,69 ST,01/09/2020,4457
8563,69 ST,01/10/2020,4594
8564,69 ST,01/11/2020,3054
8565,69 ST,01/12/2020,2341
8566,69 ST,01/13/2020,4562
8567,69 ST,01/14/2020,4363
8568,69 ST,01/15/2020,4477
8569,69 ST,01/16/2020,4352
8570,69 ST,01/17/2020,4494
8571,69 ST,01/18/2020,2985
8572,69 ST,01/19/2020,2708
8573,69 ST,01/20/2020,3453
8574,69 ST,01/21/2020,4383
8575,69 ST,01/22/2020,4352
8576,69 ST,01/23/2020,4449
8577,69 ST,01/24/2020,4522
8578,69 ST,01/25/2020,3175
8579,69 ST,01/26/2020,2851
8580,69 ST,01/27/2020,4575
8581,69 ST,01/28/2020,4614
8582,69 ST,01/29/2020,4672
8583,69 ST,01/30/2020,4573
8584,69 ST,01/31/2020,4705
8585,69 ST,02/01/2020,3246
8586,69 ST,02/02/2020,2518
8587,69 ST,02/03/2020,4750
8588,69 ST,02/04/2020,4669
8589,69 ST,02/05/2020,4706
8590,69 ST,02/06/2020,4588
8591,69 ST,02/07/2020,4525
8592,69 ST,02/08/2020,3386
8593,69 ST,02/09/2020,2629
8594,69 ST,02/10/2020,4570
8595,69 ST,02/11/2020,4511
8596,69 ST,02/12/2020,4608
8597,69 ST,02/13/2020,4616
8598,69 ST,02/14/2020,4770
8599,69 ST,02/15/2020,3039
8600,69 ST,02/16/2020,2558
8601,69 ST,02/17/2020,3567
8602,69 ST,02/18/2020,4287
8603,69 ST,02/19/2020,4411
8604,69 ST,02/20/2020,4197
8605,69 ST,02/21/2020,4270
8606,69 ST,02/22/2020,3342
8607,69 ST,02/23/2020,2702
8608,69 ST,02/24/2020,4692
8609,69 ST,02/25/2020,4584
8610,69 ST,02/26/2020,4470
8611,69 ST,02/27/2020,4582
8612,69 ST,02/28/2020,4723
8613,69 ST,02/29/2020,3347
8614,69 ST,03/01/2020,2621
8615,69 ST,03/02/2020,4647
8616,69 ST,03/03/2020,4640
8617,69 ST,03/04/2020,4660
8618,69 ST,03/05/2020,4702
8619,69 ST,03/06/2020,4632
8620,69 ST,03/07/2020,3274
8621,69 ST,03/08/2020,2532
8622,69 ST,03/09/2020,4680
8623,69 ST,03/10/2020,4520
8624,69 ST,03/11/2020,4420
8625,69 ST,03/12/2020,4177
8626,69 ST,03/13/2020,4137
8627,69 ST,03/14/2020,2531
8628,69 ST,03/15/2020,1925
8629,69 ST,03/16/2020,2727
8630,69 ST,03/17/2020,2111
8631,69 ST,03/18/2020,1985
8632,69 ST,03/19/2020,1737
8633,69 ST,03/20/2020,1717
8634,69 ST,03/21/2020,850
8635,69 ST,03/22/2020,486
8636,69 ST,03/23/2020,774
8637,69 ST,03/24/2020,814
8638,69 ST,03/25/2020,692
8639,69 ST,03/26/2020,673
8640,69 ST,03/27/2020,705
8641,69 ST,12/28/2019,3030
8642,69 ST,12/29/2019,2321
8643,69 ST,12/30/2019,3934
8644,69 ST,12/31/2019,3710
8645,7 AV,01/01/2020,15865
8646,7 AV,01/02/2020,34452
8647,7 AV,01/03/2020,34996
8648,7 AV,01/04/2020,17341
8649,7 AV,01/05/2020,14982
8650,7 AV,01/06/2020,36923
8651,7 AV,01/07/2020,38237
8652,7 AV,01/08/2020,38603
8653,7 AV,01/09/2020,39158
8654,7 AV,01/10/2020,37932
8655,7 AV,01/11/2020,17941
8656,7 AV,01/12/2020,14448
8657,7 AV,01/13/2020,39059
8658,7 AV,01/14/2020,38142
8659,7 AV,01/15/2020,38328
8660,7 AV,01/16/2020,38088
8661,7 AV,01/17/2020,36349
8662,7 AV,01/18/2020,14488
8663,7 AV,01/19/2020,12696
8664,7 AV,01/20/2020,19010
8665,7 AV,01/21/2020,36868
8666,7 AV,01/22/2020,37558
8667,7 AV,01/23/2020,36943
8668,7 AV,01/24/2020,36269
8669,7 AV,01/25/2020,15499
8670,7 AV,01/26/2020,13732
8671,7 AV,01/27/2020,34960
8672,7 AV,01/28/2020,37449
8673,7 AV,01/29/2020,38330
8674,7 AV,01/30/2020,38122
8675,7 AV,01/31/2020,36285
8676,7 AV,02/01/2020,15022
8677,7 AV,02/02/2020,12052
8678,7 AV,02/03/2020,35657
8679,7 AV,02/04/2020,37301
8680,7 AV,02/05/2020,38920
8681,7 AV,02/06/2020,39279
8682,7 AV,02/07/2020,37573
8683,7 AV,02/08/2020,13071
8684,7 AV,02/09/2020,10766
8685,7 AV,02/10/2020,37241
8686,7 AV,02/11/2020,38287
8687,7 AV,02/12/2020,38554
8688,7 AV,02/13/2020,38558
8689,7 AV,02/14/2020,36870
8690,7 AV,02/15/2020,14536
8691,7 AV,02/16/2020,12590
8692,7 AV,02/17/2020,15449
8693,7 AV,02/18/2020,32670
8694,7 AV,02/19/2020,34185
8695,7 AV,02/20/2020,34844
8696,7 AV,02/21/2020,33818
8697,7 AV,02/22/2020,12332
8698,7 AV,02/23/2020,10164
8699,7 AV,02/24/2020,35543
8700,7 AV,02/25/2020,38126
8701,7 AV,02/26/2020,38187
8702,7 AV,02/27/2020,37796
8703,7 AV,02/28/2020,36817
8704,7 AV,02/29/2020,11336
8705,7 AV,03/01/2020,8446
8706,7 AV,03/02/2020,35122
8707,7 AV,03/03/2020,37045
8708,7 AV,03/04/2020,37053
8709,7 AV,03/05/2020,36744
8710,7 AV,03/06/2020,36503
8711,7 AV,03/07/2020,16009
8712,7 AV,03/08/2020,13437
8713,7 AV,03/09/2020,33114
8714,7 AV,03/10/2020,33042
8715,7 AV,03/11/2020,31142
8716,7 AV,03/12/2020,26852
8717,7 AV,03/13/2020,19596
8718,7 AV,03/14/2020,7611
8719,7 AV,03/15/2020,5028
8720,7 AV,03/16/2020,10043
8721,7 AV,03/17/2020,7915
8722,7 AV,03/18/2020,6974
8723,7 AV,03/19/2020,6095
8724,7 AV,03/20/2020,5223
8725,7 AV,03/21/2020,2044
8726,7 AV,03/22/2020,1420
8727,7 AV,03/23/2020,2843
8728,7 AV,03/24/2020,2881
8729,7 AV,03/25/2020,2602
8730,7 AV,03/26/2020,2608
8731,7 AV,03/27/2020,2471
8732,7 AV,12/28/2019,16905
8733,7 AV,12/29/2019,15507
8734,7 AV,12/30/2019,28656
8735,7 AV,12/31/2019,22031
8736,71 ST,01/01/2020,2318
8737,71 ST,01/02/2020,5209
8738,71 ST,01/03/2020,5168
8739,71 ST,01/04/2020,3063
8740,71 ST,01/05/2020,2564
8741,71 ST,01/06/2020,5319
8742,71 ST,01/07/2020,5402
8743,71 ST,01/08/2020,5356
8744,71 ST,01/09/2020,5339
8745,71 ST,01/10/2020,5455
8746,71 ST,01/11/2020,3293
8747,71 ST,01/12/2020,2686
8748,71 ST,01/13/2020,5345
8749,71 ST,01/14/2020,5339
8750,71 ST,01/15/2020,5345
8751,71 ST,01/16/2020,5166
8752,71 ST,01/17/2020,4824
8753,71 ST,01/18/2020,2888
8754,71 ST,01/19/2020,2676
8755,71 ST,01/20/2020,3885
8756,71 ST,01/21/2020,5188
8757,71 ST,01/22/2020,5319
8758,71 ST,01/23/2020,5321
8759,71 ST,01/24/2020,4962
8760,71 ST,01/25/2020,2560
8761,71 ST,01/26/2020,2582
8762,71 ST,01/27/2020,5130
8763,71 ST,01/28/2020,5542
8764,71 ST,01/29/2020,5419
8765,71 ST,01/30/2020,5393
8766,71 ST,01/31/2020,5326
8767,71 ST,02/01/2020,3155
8768,71 ST,02/02/2020,2580
8769,71 ST,02/03/2020,5372
8770,71 ST,02/04/2020,5471
8771,71 ST,02/05/2020,5436
8772,71 ST,02/06/2020,5300
8773,71 ST,02/07/2020,5225
8774,71 ST,02/08/2020,3340
8775,71 ST,02/09/2020,2709
8776,71 ST,02/10/2020,5308
8777,71 ST,02/11/2020,5418
8778,71 ST,02/12/2020,5390
8779,71 ST,02/13/2020,5365
8780,71 ST,02/14/2020,5291
8781,71 ST,02/15/2020,3028
8782,71 ST,02/16/2020,2606
8783,71 ST,02/17/2020,3868
8784,71 ST,02/18/2020,5011
8785,71 ST,02/19/2020,5107
8786,71 ST,02/20/2020,4966
8787,71 ST,02/21/2020,4870
8788,71 ST,02/22/2020,3239
8789,71 ST,02/23/2020,2668
8790,71 ST,02/24/2020,5551
8791,71 ST,02/25/2020,5519
8792,71 ST,02/26/2020,5521
8793,71 ST,02/27/2020,5462
8794,71 ST,02/28/2020,5241
8795,71 ST,02/29/2020,3153
8796,71 ST,03/01/2020,2474
8797,71 ST,03/02/2020,5473
8798,71 ST,03/03/2020,5464
8799,71 ST,03/04/2020,5500
8800,71 ST,03/05/2020,5370
8801,71 ST,03/06/2020,5029
8802,71 ST,03/07/2020,3038
8803,71 ST,03/08/2020,2171
8804,71 ST,03/09/2020,4894
8805,71 ST,03/10/2020,4704
8806,71 ST,03/11/2020,4748
8807,71 ST,03/12/2020,4219
8808,71 ST,03/13/2020,3824
8809,71 ST,03/14/2020,2083
8810,71 ST,03/15/2020,1540
8811,71 ST,03/16/2020,2680
8812,71 ST,03/17/2020,2262
8813,71 ST,03/18/2020,2105
8814,71 ST,03/19/2020,1810
8815,71 ST,03/20/2020,1690
8816,71 ST,03/21/2020,854
8817,71 ST,03/22/2020,562
8818,71 ST,03/23/2020,828
8819,71 ST,03/24/2020,879
8820,71 ST,03/25/2020,853
8821,71 ST,03/26/2020,806
8822,71 ST,03/27/2020,828
8823,71 ST,12/28/2019,3416
8824,71 ST,12/29/2019,2742
8825,71 ST,12/30/2019,4397
8826,71 ST,12/31/2019,4519
8827,72 ST,01/01/2020,20813
8828,72 ST,01/02/2020,39457
8829,72 ST,01/03/2020,37851
8830,72 ST,01/04/2020,24717
8831,72 ST,01/05/2020,22591
8832,72 ST,01/06/2020,40180
8833,72 ST,01/07/2020,41025
8834,72 ST,01/08/2020,41170
8835,72 ST,01/09/2020,41420
8836,72 ST,01/10/2020,41251
8837,72 ST,01/11/2020,27634
8838,72 ST,01/12/2020,23520
8839,72 ST,01/13/2020,30236
8840,72 ST,01/14/2020,40894
8841,72 ST,01/15/2020,41452
8842,72 ST,01/16/2020,41376
8843,72 ST,01/17/2020,39873
8844,72 ST,01/18/2020,24124
8845,72 ST,01/19/2020,22201
8846,72 ST,01/20/2020,27602
8847,72 ST,01/21/2020,38386
8848,72 ST,01/22/2020,39159
8849,72 ST,01/23/2020,40229
8850,72 ST,01/24/2020,40444
8851,72 ST,01/25/2020,22531
8852,72 ST,01/26/2020,22370
8853,72 ST,01/27/2020,38513
8854,72 ST,01/28/2020,40672
8855,72 ST,01/29/2020,40613
8856,72 ST,01/30/2020,40330
8857,72 ST,01/31/2020,39877
8858,72 ST,02/01/2020,25216
8859,72 ST,02/02/2020,22178
8860,72 ST,02/03/2020,39075
8861,72 ST,02/04/2020,40559
8862,72 ST,02/05/2020,40860
8863,72 ST,02/06/2020,40612
8864,72 ST,02/07/2020,39681
8865,72 ST,02/08/2020,25560
8866,72 ST,02/09/2020,22193
8867,72 ST,02/10/2020,37906
8868,72 ST,02/11/2020,39946
8869,72 ST,02/12/2020,40554
8870,72 ST,02/13/2020,40738
8871,72 ST,02/14/2020,40060
8872,72 ST,02/15/2020,23846
8873,72 ST,02/16/2020,22082
8874,72 ST,02/17/2020,27551
8875,72 ST,02/18/2020,36715
8876,72 ST,02/19/2020,38052
8877,72 ST,02/20/2020,37650
8878,72 ST,02/21/2020,37571
8879,72 ST,02/22/2020,25130
8880,72 ST,02/23/2020,22763
8881,72 ST,02/24/2020,38871
8882,72 ST,02/25/2020,39971
8883,72 ST,02/26/2020,40166
8884,72 ST,02/27/2020,40171
8885,72 ST,02/28/2020,39295
8886,72 ST,02/29/2020,23984
8887,72 ST,03/01/2020,21470
8888,72 ST,03/02/2020,38566
8889,72 ST,03/03/2020,39203
8890,72 ST,03/04/2020,39719
8891,72 ST,03/05/2020,39233
8892,72 ST,03/06/2020,37615
8893,72 ST,03/07/2020,24632
8894,72 ST,03/08/2020,21473
8895,72 ST,03/09/2020,36870
8896,72 ST,03/10/2020,35194
8897,72 ST,03/11/2020,33510
8898,72 ST,03/12/2020,29901
8899,72 ST,03/13/2020,24320
8900,72 ST,03/14/2020,12225
8901,72 ST,03/15/2020,8589
8902,72 ST,03/16/2020,13904
8903,72 ST,03/17/2020,10902
8904,72 ST,03/18/2020,9966
8905,72 ST,03/19/2020,8491
8906,72 ST,03/20/2020,7676
8907,72 ST,03/21/2020,3883
8908,72 ST,03/22/2020,2780
8909,72 ST,03/23/2020,3949
8910,72 ST,03/24/2020,4220
8911,72 ST,03/25/2020,3552
8912,72 ST,03/26/2020,3866
8913,72 ST,03/27/2020,3505
8914,72 ST,12/28/2019,25022
8915,72 ST,12/29/2019,22336
8916,72 ST,12/30/2019,33454
8917,72 ST,12/31/2019,33501
8918,72 ST-2 AVE,01/01/2020,8607
8919,72 ST-2 AVE,01/02/2020,25061
8920,72 ST-2 AVE,01/03/2020,25311
8921,72 ST-2 AVE,01/04/2020,11456
8922,72 ST-2 AVE,01/05/2020,8826
8923,72 ST-2 AVE,01/06/2020,28169
8924,72 ST-2 AVE,01/07/2020,29645
8925,72 ST-2 AVE,01/08/2020,30404
8926,72 ST-2 AVE,01/09/2020,30307
8927,72 ST-2 AVE,01/10/2020,29382
8928,72 ST-2 AVE,01/11/2020,12609
8929,72 ST-2 AVE,01/12/2020,9101
8930,72 ST-2 AVE,01/13/2020,28421
8931,72 ST-2 AVE,01/14/2020,30042
8932,72 ST-2 AVE,01/15/2020,30334
8933,72 ST-2 AVE,01/16/2020,30395
8934,72 ST-2 AVE,01/17/2020,29028
8935,72 ST-2 AVE,01/18/2020,12795
8936,72 ST-2 AVE,01/19/2020,10782
8937,72 ST-2 AVE,01/20/2020,17227
8938,72 ST-2 AVE,01/21/2020,30218
8939,72 ST-2 AVE,01/22/2020,30266
8940,72 ST-2 AVE,01/23/2020,29728
8941,72 ST-2 AVE,01/24/2020,28567
8942,72 ST-2 AVE,01/25/2020,12151
8943,72 ST-2 AVE,01/26/2020,10770
8944,72 ST-2 AVE,01/27/2020,28369
8945,72 ST-2 AVE,01/28/2020,30037
8946,72 ST-2 AVE,01/29/2020,30515
8947,72 ST-2 AVE,01/30/2020,30263
8948,72 ST-2 AVE,01/31/2020,29024
8949,72 ST-2 AVE,02/01/2020,14030
8950,72 ST-2 AVE,02/02/2020,10348
8951,72 ST-2 AVE,02/03/2020,28522
8952,72 ST-2 AVE,02/04/2020,30033
8953,72 ST-2 AVE,02/05/2020,30813
8954,72 ST-2 AVE,02/06/2020,30669
8955,72 ST-2 AVE,02/07/2020,29067
8956,72 ST-2 AVE,02/08/2020,11952
8957,72 ST-2 AVE,02/09/2020,8791
8958,72 ST-2 AVE,02/10/2020,29163
8959,72 ST-2 AVE,02/11/2020,30370
8960,72 ST-2 AVE,02/12/2020,30901
8961,72 ST-2 AVE,02/13/2020,30473
8962,72 ST-2 AVE,02/14/2020,28847
8963,72 ST-2 AVE,02/15/2020,12403
8964,72 ST-2 AVE,02/16/2020,10307
8965,72 ST-2 AVE,02/17/2020,15571
8966,72 ST-2 AVE,02/18/2020,27428
8967,72 ST-2 AVE,02/19/2020,28656
8968,72 ST-2 AVE,02/20/2020,28571
8969,72 ST-2 AVE,02/21/2020,27241
8970,72 ST-2 AVE,02/22/2020,11930
8971,72 ST-2 AVE,02/23/2020,8634
8972,72 ST-2 AVE,02/24/2020,28484
8973,72 ST-2 AVE,02/25/2020,30023
8974,72 ST-2 AVE,02/26/2020,29685
8975,72 ST-2 AVE,02/27/2020,30255
8976,72 ST-2 AVE,02/28/2020,29010
8977,72 ST-2 AVE,02/29/2020,12004
8978,72 ST-2 AVE,03/01/2020,8735
8979,72 ST-2 AVE,03/02/2020,27824
8980,72 ST-2 AVE,03/03/2020,29400
8981,72 ST-2 AVE,03/04/2020,29230
8982,72 ST-2 AVE,03/05/2020,28783
8983,72 ST-2 AVE,03/06/2020,27592
8984,72 ST-2 AVE,03/07/2020,12576
8985,72 ST-2 AVE,03/08/2020,9282
8986,72 ST-2 AVE,03/09/2020,26060
8987,72 ST-2 AVE,03/10/2020,26067
8988,72 ST-2 AVE,03/11/2020,25685
8989,72 ST-2 AVE,03/12/2020,22282
8990,72 ST-2 AVE,03/13/2020,17437
8991,72 ST-2 AVE,03/14/2020,6117
8992,72 ST-2 AVE,03/15/2020,3913
8993,72 ST-2 AVE,03/16/2020,11369
8994,72 ST-2 AVE,03/17/2020,9536
8995,72 ST-2 AVE,03/18/2020,8366
8996,72 ST-2 AVE,03/19/2020,7331
8997,72 ST-2 AVE,03/20/2020,6274
8998,72 ST-2 AVE,03/21/2020,2174
8999,72 ST-2 AVE,03/22/2020,1601
9000,72 ST-2 AVE,03/23/2020,4295
9001,72 ST-2 AVE,03/24/2020,4124
9002,72 ST-2 AVE,03/25/2020,3922
9003,72 ST-2 AVE,03/26/2020,3714
9004,72 ST-2 AVE,03/27/2020,3371
9005,72 ST-2 AVE,12/28/2019,10258
9006,72 ST-2 AVE,12/29/2019,8580
9007,72 ST-2 AVE,12/30/2019,20712
9008,72 ST-2 AVE,12/31/2019,19068
9009,74 ST-BROADWAY,01/01/2020,1871
9010,74 ST-BROADWAY,01/02/2020,2909
9011,74 ST-BROADWAY,01/03/2020,2982
9012,74 ST-BROADWAY,01/04/2020,2240
9013,74 ST-BROADWAY,01/05/2020,1933
9014,74 ST-BROADWAY,01/06/2020,3055
9015,74 ST-BROADWAY,01/07/2020,2986
9016,74 ST-BROADWAY,01/08/2020,2893
9017,74 ST-BROADWAY,01/09/2020,2811
9018,74 ST-BROADWAY,01/10/2020,3072
9019,74 ST-BROADWAY,01/11/2020,2464
9020,74 ST-BROADWAY,01/12/2020,2070
9021,74 ST-BROADWAY,01/13/2020,2933
9022,74 ST-BROADWAY,01/14/2020,2825
9023,74 ST-BROADWAY,01/15/2020,3041
9024,74 ST-BROADWAY,01/16/2020,2866
9025,74 ST-BROADWAY,01/17/2020,3035
9026,74 ST-BROADWAY,01/18/2020,2341
9027,74 ST-BROADWAY,01/19/2020,2353
9028,74 ST-BROADWAY,01/20/2020,2455
9029,74 ST-BROADWAY,01/21/2020,2856
9030,74 ST-BROADWAY,01/22/2020,2917
9031,74 ST-BROADWAY,01/23/2020,2877
9032,74 ST-BROADWAY,01/24/2020,3104
9033,74 ST-BROADWAY,01/25/2020,2276
9034,74 ST-BROADWAY,01/26/2020,2371
9035,74 ST-BROADWAY,01/27/2020,2941
9036,74 ST-BROADWAY,01/28/2020,3049
9037,74 ST-BROADWAY,01/29/2020,3031
9038,74 ST-BROADWAY,01/30/2020,2806
9039,74 ST-BROADWAY,01/31/2020,3135
9040,74 ST-BROADWAY,02/01/2020,2652
9041,74 ST-BROADWAY,02/02/2020,2150
9042,74 ST-BROADWAY,02/03/2020,3054
9043,74 ST-BROADWAY,02/04/2020,3075
9044,74 ST-BROADWAY,02/05/2020,2965
9045,74 ST-BROADWAY,02/06/2020,2782
9046,74 ST-BROADWAY,02/07/2020,2959
9047,74 ST-BROADWAY,02/08/2020,2673
9048,74 ST-BROADWAY,02/09/2020,2194
9049,74 ST-BROADWAY,02/10/2020,2923
9050,74 ST-BROADWAY,02/11/2020,2846
9051,74 ST-BROADWAY,02/12/2020,2973
9052,74 ST-BROADWAY,02/13/2020,2820
9053,74 ST-BROADWAY,02/14/2020,3178
9054,74 ST-BROADWAY,02/15/2020,2550
9055,74 ST-BROADWAY,02/16/2020,2274
9056,74 ST-BROADWAY,02/17/2020,2712
9057,74 ST-BROADWAY,02/18/2020,2852
9058,74 ST-BROADWAY,02/19/2020,2877
9059,74 ST-BROADWAY,02/20/2020,2759
9060,74 ST-BROADWAY,02/21/2020,2932
9061,74 ST-BROADWAY,02/22/2020,2758
9062,74 ST-BROADWAY,02/23/2020,2271
9063,74 ST-BROADWAY,02/24/2020,2963
9064,74 ST-BROADWAY,02/25/2020,2810
9065,74 ST-BROADWAY,02/26/2020,2930
9066,74 ST-BROADWAY,02/27/2020,2866
9067,74 ST-BROADWAY,02/28/2020,3039
9068,74 ST-BROADWAY,02/29/2020,2498
9069,74 ST-BROADWAY,03/01/2020,2292
9070,74 ST-BROADWAY,03/02/2020,2935
9071,74 ST-BROADWAY,03/03/2020,3011
9072,74 ST-BROADWAY,03/04/2020,3006
9073,74 ST-BROADWAY,03/05/2020,2874
9074,74 ST-BROADWAY,03/06/2020,2844
9075,74 ST-BROADWAY,03/07/2020,2488
9076,74 ST-BROADWAY,03/08/2020,1613
