,Station,Date,num_entries,"('num_entries', 'amax')","('num_entries', 'amin')",normalized_entries
47,1 AV,02/17/2020,5801,19046,8,0.3042861645130791
48,1 AV,02/18/2020,13669,19046,8,0.717564870259481
49,1 AV,02/19/2020,13970,19046,8,0.7333753545540498
50,1 AV,02/20/2020,14386,19046,8,0.7552263893266099
51,1 AV,02/21/2020,14199,19046,8,0.745403928984137
52,1 AV,02/22/2020,6015,19046,8,0.31552684105473267
53,1 AV,02/23/2020,4273,19046,8,0.22402563294463704
54,1 AV,02/24/2020,14697,19046,8,0.7715621388801345
55,1 AV,02/25/2020,15553,19046,8,0.8165248450467486
56,1 AV,02/26/2020,16167,19046,8,0.848776131946633
57,1 AV,02/27/2020,16453,19046,8,0.8637987183527681
58,1 AV,02/28/2020,16985,19046,8,0.8917428301292153
59,1 AV,02/29/2020,6000,19046,8,0.31473894316629897
60,1 AV,03/01/2020,4234,19046,8,0.22197709843470953
61,1 AV,03/02/2020,14854,19046,8,0.7798088034457401
62,1 AV,03/03/2020,15527,19046,8,0.8151591553734636
63,1 AV,03/04/2020,14331,19046,8,0.7523374304023532
64,1 AV,03/05/2020,15735,19046,8,0.8260846727597436
65,1 AV,03/06/2020,15950,19046,8,0.8373778758272927
66,1 AV,03/07/2020,5764,19046,8,0.3023426830549428
67,1 AV,03/08/2020,3431,19046,8,0.17979829814056097
68,1 AV,03/09/2020,13073,19046,8,0.686259060825717
69,1 AV,03/10/2020,13054,19046,8,0.685261056833701
70,1 AV,03/11/2020,12423,19046,8,0.6521168189935918
71,1 AV,03/12/2020,11433,19046,8,0.6001155583569703
72,1 AV,03/13/2020,9415,19046,8,0.49411702909969535
73,1 AV,03/14/2020,2367,19046,8,0.12391007458766677
74,1 AV,03/15/2020,1635,19046,8,0.08546065763210421
75,1 AV,03/16/2020,4851,19046,8,0.2543859649122807
76,1 AV,03/17/2020,4132,19046,8,0.21661939279336065
77,1 AV,03/18/2020,3713,19046,8,0.19461077844311378
78,1 AV,03/19/2020,3223,19046,8,0.16887278075428092
79,1 AV,03/20/2020,3067,19046,8,0.16067864271457086
80,1 AV,03/21/2020,8,19046,8,0.0
